CD116,State,District,State-District,lackinsurance,lackinsurance_LCL,lackinsurance_UCL,checkup,chekup_LCL,checkup_UCL,cholscreen,cholscreen_LCL,cholscreen_UCL,csmoking,csmoking_LCL,csmoking_UCL,diabetes,diabetes_LCL,diabetes_UCL,flushot,flushot_LCL,flushot_UCL,ghlth,ghlth_LCL,ghlth_UCL,physical_inactivity,physical_inactivity_LCL,physical_inactivity_UCL,mcost,mcost_LCL,mcost_UCL,mhlth,mhlth_LCL,mhlth_UCL,obesity,obesity_LCL,obesity_UCL
0101,AL,01,AL-01,16.3%,16.2%,16.3%,72.3%,72.3%,72.4%,81.1%,81%,81.1%,20%,19.9%,20%,12.5%,12.5%,12.6%,38.8%,38.7%,38.9%,22.9%,22.9%,23%,33.1%,33%,33.2%,16.4%,16.3%,16.4%,15.2%,15.1%,#VALUE!,34.4%,34.3%,34.4%
0102,AL,02,AL-02,16.2%,16.2%,16.3%,72%,72%,72.1%,81.1%,81.1%,81.2%,19.9%,19.9%,20%,12.7%,12.6%,12.7%,38.6%,38.6%,38.7%,23.2%,23.1%,23.2%,32.6%,32.6%,32.7%,16.2%,16.2%,16.3%,15%,14.9%,15%,35.6%,35.5%,35.6%
0103,AL,03,AL-03,15.7%,15.7%,15.8%,71%,70.9%,71%,80.1%,80%,80.1%,20.2%,20.2%,20.3%,12.5%,12.5%,12.5%,39.8%,39.7%,39.9%,23.1%,23%,23.1%,32.1%,32.1%,32.2%,16.1%,16.1%,16.1%,15.3%,15.2%,15.3%,34.4%,34.3%,34.5%
0104,AL,04,AL-04,15%,15%,15%,70.3%,70.3%,70.4%,81.2%,81.2%,81.2%,20.2%,20.1%,20.2%,12.3%,12.3%,12.4%,39.8%,39.7%,39.8%,23.5%,23.4%,23.5%,33.7%,33.6%,33.7%,15%,15%,15%,15%,14.9%,15%,34.5%,34.4%,34.5%
0105,AL,05,AL-05,14.9%,14.9%,14.9%,70%,69.9%,70.1%,81.1%,81.1%,81.2%,18.5%,18.4%,18.5%,11.2%,11.2%,11.3%,39.7%,39.6%,39.8%,21.4%,21.3%,21.5%,29.2%,29.1%,29.3%,15%,14.9%,15%,14.4%,14.4%,14.5%,34.1%,34%,34.1%
0106,AL,06,AL-06,13.5%,13.5%,13.5%,70.8%,70.7%,70.8%,82.3%,82.3%,82.3%,16.5%,16.5%,16.6%,10%,10%,10%,44.6%,44.5%,44.6%,17.3%,17.2%,17.3%,27.9%,27.8%,27.9%,13.9%,13.8%,13.9%,13.2%,13.2%,13.2%,31.6%,31.6%,31.7%
0107,AL,07,AL-07,20.4%,20.4%,20.5%,74.6%,74.5%,74.6%,79.7%,79.6%,79.8%,22%,22%,22.1%,15.6%,15.6%,15.6%,36.1%,36%,36.2%,27.4%,27.4%,27.5%,36.8%,36.7%,36.9%,19.8%,19.7%,19.8%,17.3%,17.3%,17.4%,40.7%,40.6%,40.7%
0200,AK,00,AK-00,11.7%,11.7%,11.7%,52.5%,52.4%,52.5%,72.9%,72.8%,72.9%,17.6%,17.6%,17.7%,7.4%,7.3%,7.4%,33.9%,33.8%,34%,14.5%,14.5%,14.5%,20.4%,20.3%,20.4%,12.8%,12.8%,12.9%,11.3%,11.3%,11.3%,32.6%,32.6%,32.7%
0401,AZ,01,AZ-01,14.1%,14.1%,14.1%,64.4%,64.4%,64.5%,77.4%,77.4%,77.5%,18.4%,18.3%,18.4%,11.3%,11.3%,11.4%,36.3%,36.2%,36.3%,20.2%,20.1%,20.2%,25.1%,25%,25.1%,14.9%,14.9%,14.9%,14.1%,14%,14.1%,29.9%,29.8%,30%
0402,AZ,02,AZ-02,13.2%,13.1%,13.2%,66.6%,66.6%,66.7%,81.2%,81.2%,81.2%,15.2%,15.2%,15.3%,9.2%,9.1%,9.2%,41.9%,41.8%,42%,16.3%,16.3%,16.3%,21.6%,21.5%,21.6%,12.9%,12.9%,13%,12%,12%,12%,26.3%,26.3%,26.4%
0403,AZ,03,AZ-03,22.2%,22.1%,22.2%,63.7%,63.7%,63.8%,76.6%,76.5%,76.6%,17.1%,17%,17.1%,10.5%,10.5%,10.6%,34.5%,34.4%,34.6%,22.5%,22.4%,22.5%,26.4%,26.4%,26.5%,18.7%,18.7%,18.8%,14.1%,14.1%,14.2%,32.4%,32.4%,32.5%
0404,AZ,04,AZ-04,12.3%,12.3%,12.4%,67.2%,67.2%,67.3%,81.3%,81.2%,81.3%,17.3%,17.2%,17.3%,10.9%,10.8%,10.9%,35.2%,35.1%,35.2%,18.2%,18.2%,18.3%,25.9%,25.8%,26%,11.8%,11.8%,11.8%,12%,11.9%,12%,29.1%,29%,29.2%
0405,AZ,05,AZ-05,10.8%,10.8%,10.8%,68%,67.9%,68%,83.7%,83.7%,83.7%,12.4%,12.4%,12.4%,7.8%,7.8%,7.9%,38.7%,38.7%,38.8%,12.6%,12.6%,12.6%,19.7%,19.7%,19.8%,11.1%,11.1%,11.1%,10.4%,10.4%,10.4%,25.8%,25.7%,25.8%
0406,AZ,06,AZ-06,11%,11%,11%,68.1%,68.1%,68.2%,83.7%,83.7%,83.7%,13.1%,13.1%,13.1%,8.1%,8%,8.1%,38.5%,38.5%,38.6%,13.2%,13.2%,13.2%,20.2%,20.2%,20.2%,11.4%,11.4%,11.4%,10.9%,10.8%,10.9%,26.5%,26.4%,26.5%
0407,AZ,07,AZ-07,27%,26.9%,27%,63.9%,63.8%,63.9%,75.2%,75.1%,75.2%,19.1%,19.1%,19.2%,11%,10.9%,11%,28.9%,28.9%,29%,25.5%,25.5%,25.6%,31.1%,31%,31.1%,21.5%,21.5%,21.6%,15.7%,15.6%,15.7%,34.9%,34.8%,35%
0408,AZ,08,AZ-08,11.5%,11.4%,11.5%,69.6%,69.5%,69.6%,84.4%,84.4%,84.5%,12.1%,12.1%,12.2%,8.7%,8.6%,8.7%,40%,39.9%,40.1%,13.5%,13.5%,13.5%,20.6%,20.5%,20.6%,11%,10.9%,11%,10.3%,10.3%,10.4%,26.1%,26%,26.1%
0409,AZ,09,AZ-09,14.9%,14.9%,14.9%,65.4%,65.3%,65.4%,78.8%,78.8%,78.9%,15%,15%,15.1%,7.8%,7.7%,7.8%,34.4%,34.3%,34.4%,15.3%,15.3%,15.3%,22.4%,22.3%,22.4%,14.2%,14.2%,14.2%,12.6%,12.6%,12.6%,27.8%,27.7%,27.8%
0501,AR,01,AR-01,11.3%,11.3%,11.3%,71.9%,71.9%,72%,79.6%,79.6%,79.7%,21.3%,21.3%,21.4%,12.3%,12.2%,12.3%,39.9%,39.8%,40%,24.9%,24.9%,25%,34.6%,34.5%,34.7%,12.9%,12.9%,12.9%,14.7%,14.7%,14.8%,35.7%,35.6%,35.8%
0502,AR,02,AR-02,11%,11%,11.1%,70.9%,70.8%,70.9%,79.3%,79.2%,79.3%,19.2%,19.1%,19.2%,10.2%,10.2%,10.3%,42.6%,42.5%,42.6%,19.8%,19.7%,19.8%,29.9%,29.8%,29.9%,12.6%,12.6%,12.6%,13.5%,13.5%,13.5%,31.9%,31.8%,31.9%
0503,AR,03,AR-03,12%,11.9%,12%,69.4%,69.4%,69.5%,76.9%,76.8%,76.9%,19.5%,19.4%,19.5%,9.6%,9.6%,9.6%,39.9%,39.8%,39.9%,19.8%,19.8%,19.9%,29%,29%,29.1%,12.8%,12.8%,12.8%,14.3%,14.2%,14.3%,30.4%,30.3%,30.5%
